Configuration,Language,File Path,Successfully Extracted,Failure Reason
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/ViewUserProfile/ViewUserProfile.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/ViewUserProfile/ViewUserProfile.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/api/sessions.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/settings/Settings.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/home/Home.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/constants/time.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/mocks/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/validation/emailValidation.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/FriendsHeader/FriendsHeader.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/RecentStudySessions/RecentStudySessions.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/AccountActions/AccountActions.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/home/Home.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/constants/strings.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/notifications/displayNotifications.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/PageSpinner/PageSpinner.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/cypress/e2e/home.cy.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/cypress/constants/url.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/friends/loader.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/types/friends.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/friends/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/mocks/profile.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/UpdatePassword/UpdatePassword.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/ErrorBoundary/ErrorBoundary.spec.tsx,true,""
